sample_id,variant,semantic,frame,rank,pos,token,attn
apps_python_1,original_clean,tool,original,1,18, query,0.0775856077671051
apps_python_1,original_clean,tool,original,2,225,\n\n,0.04854261875152588
apps_python_1,original_clean,tool,original,3,220,assistant,0.04071587324142456
apps_python_1,original_clean,tool,original,4,38,"{""",0.03618424013257027
apps_python_1,original_clean,tool,original,5,8, call,0.028381584212183952
apps_python_1,original_corrupt,no_tool,original,1,18, query,0.07293092459440231
apps_python_1,original_corrupt,no_tool,original,2,225,\n\n,0.04685896262526512
apps_python_1,original_corrupt,no_tool,original,3,137, the,0.04240480065345764
apps_python_1,original_corrupt,no_tool,original,4,220,assistant,0.03792589157819748
apps_python_1,original_corrupt,no_tool,original,5,38,"{""",0.03432784974575043
apps_python_1,tool_out,tool,out,1,18, query,0.06765677779912949
apps_python_1,tool_out,tool,out,2,136, the,0.05325702205300331
apps_python_1,tool_out,tool,out,3,224,\n\n,0.045280616730451584
apps_python_1,tool_out,tool,out,4,219,assistant,0.0376315712928772
apps_python_1,tool_out,tool,out,5,38,"{""",0.03301500156521797
apps_python_1,no_tool_out,no_tool,out,1,18, query,0.07297166436910629
apps_python_1,no_tool_out,no_tool,out,2,224,\n\n,0.04600025340914726
apps_python_1,no_tool_out,no_tool,out,3,219,assistant,0.0398225262761116
apps_python_1,no_tool_out,no_tool,out,4,136, the,0.03605479747056961
apps_python_1,no_tool_out,no_tool,out,5,38,"{""",0.035286035388708115
apps_python_1,tool_manually,tool,manually,1,18, query,0.07659953832626343
apps_python_1,tool_manually,tool,manually,2,225,\n\n,0.04862874373793602
apps_python_1,tool_manually,tool,manually,3,220,assistant,0.040112558752298355
apps_python_1,tool_manually,tool,manually,4,38,"{""",0.03531064838171005
apps_python_1,tool_manually,tool,manually,5,137, the,0.028027189895510674
apps_python_1,no_tool_manually,no_tool,manually,1,18, query,0.07579252123832703
apps_python_1,no_tool_manually,no_tool,manually,2,225,\n\n,0.04716038703918457
apps_python_1,no_tool_manually,no_tool,manually,3,220,assistant,0.038280416280031204
apps_python_1,no_tool_manually,no_tool,manually,4,38,"{""",0.03590850159525871
apps_python_1,no_tool_manually,no_tool,manually,5,137, the,0.0315147340297699
apps_python_1,tool_properly,tool,properly,1,18, query,0.08054256439208984
apps_python_1,tool_properly,tool,properly,2,226,\n\n,0.04720659554004669
apps_python_1,tool_properly,tool,properly,3,221,assistant,0.040587715804576874
apps_python_1,tool_properly,tool,properly,4,38,"{""",0.03600995987653732
apps_python_1,tool_properly,tool,properly,5,17, user,0.02672128565609455
apps_python_1,no_tool_properly,no_tool,properly,1,18, query,0.07946096360683441
apps_python_1,no_tool_properly,no_tool,properly,2,226,\n\n,0.04709329828619957
apps_python_1,no_tool_properly,no_tool,properly,3,221,assistant,0.03991800174117088
apps_python_1,no_tool_properly,no_tool,properly,4,38,"{""",0.03590262308716774
apps_python_1,no_tool_properly,no_tool,properly,5,17, user,0.026404326781630516
codecontests_cpp_1,original_clean,tool,original,1,136, the,0.0658174529671669
codecontests_cpp_1,original_clean,tool,original,2,18, query,0.050239793956279755
codecontests_cpp_1,original_clean,tool,original,3,252,\n\n,0.04697477072477341
codecontests_cpp_1,original_clean,tool,original,4,134,Write,0.04365674778819084
codecontests_cpp_1,original_clean,tool,original,5,247,assistant,0.03993275761604309
codecontests_cpp_1,original_corrupt,no_tool,original,1,18, query,0.056639138609170914
codecontests_cpp_1,original_corrupt,no_tool,original,2,252,\n\n,0.04795857146382332
codecontests_cpp_1,original_corrupt,no_tool,original,3,136, the,0.045090045779943466
codecontests_cpp_1,original_corrupt,no_tool,original,4,247,assistant,0.043968357145786285
codecontests_cpp_1,original_corrupt,no_tool,original,5,150, below,0.03842215985059738
codecontests_cpp_1,tool_out,tool,out,1,136, the,0.0658174529671669
codecontests_cpp_1,tool_out,tool,out,2,18, query,0.050239793956279755
codecontests_cpp_1,tool_out,tool,out,3,252,\n\n,0.04697477072477341
codecontests_cpp_1,tool_out,tool,out,4,134,Write,0.04365674778819084
codecontests_cpp_1,tool_out,tool,out,5,247,assistant,0.03993275761604309
codecontests_cpp_1,no_tool_out,no_tool,out,1,18, query,0.056639138609170914
codecontests_cpp_1,no_tool_out,no_tool,out,2,252,\n\n,0.04795857146382332
codecontests_cpp_1,no_tool_out,no_tool,out,3,136, the,0.045090045779943466
codecontests_cpp_1,no_tool_out,no_tool,out,4,247,assistant,0.043968357145786285
codecontests_cpp_1,no_tool_out,no_tool,out,5,150, below,0.03842215985059738
codecontests_cpp_1,tool_manually,tool,manually,1,18, query,0.05971020832657814
codecontests_cpp_1,tool_manually,tool,manually,2,253,\n\n,0.0504365935921669
codecontests_cpp_1,tool_manually,tool,manually,3,248,assistant,0.04536223039031029
codecontests_cpp_1,tool_manually,tool,manually,4,137, the,0.04340659826993942
codecontests_cpp_1,tool_manually,tool,manually,5,151, below,0.03272757679224014
codecontests_cpp_1,no_tool_manually,no_tool,manually,1,18, query,0.0598248727619648
codecontests_cpp_1,no_tool_manually,no_tool,manually,2,253,\n\n,0.04932265356183052
codecontests_cpp_1,no_tool_manually,no_tool,manually,3,248,assistant,0.04315925016999245
codecontests_cpp_1,no_tool_manually,no_tool,manually,4,137, the,0.04314669966697693
codecontests_cpp_1,no_tool_manually,no_tool,manually,5,151, below,0.03257479891180992
codecontests_cpp_1,tool_properly,tool,properly,1,18, query,0.05851781368255615
codecontests_cpp_1,tool_properly,tool,properly,2,254,\n\n,0.051474954932928085
codecontests_cpp_1,tool_properly,tool,properly,3,249,assistant,0.04488770663738251
codecontests_cpp_1,tool_properly,tool,properly,4,137, add,0.033804215490818024
codecontests_cpp_1,tool_properly,tool,properly,5,38,"{""",0.030785931274294853
codecontests_cpp_1,no_tool_properly,no_tool,properly,1,18, query,0.05813182145357132
codecontests_cpp_1,no_tool_properly,no_tool,properly,2,254,\n\n,0.05098908394575119
codecontests_cpp_1,no_tool_properly,no_tool,properly,3,249,assistant,0.04345882683992386
codecontests_cpp_1,no_tool_properly,no_tool,properly,4,152, below,0.031067775562405586
codecontests_cpp_1,no_tool_properly,no_tool,properly,5,38,"{""",0.030945107340812683
codecontests_java_1,original_clean,tool,original,1,18, query,0.0642862319946289
codecontests_java_1,original_clean,tool,original,2,246,\n\n,0.05779576301574707
codecontests_java_1,original_clean,tool,original,3,241,assistant,0.04913939908146858
codecontests_java_1,original_clean,tool,original,4,149, below,0.04357257857918739
codecontests_java_1,original_clean,tool,original,5,38,"{""",0.032366469502449036
codecontests_java_1,original_corrupt,no_tool,original,1,135, the,0.14765368402004242
codecontests_java_1,original_corrupt,no_tool,original,2,18, query,0.054308608174324036
codecontests_java_1,original_corrupt,no_tool,original,3,246,\n\n,0.04663011059165001
codecontests_java_1,original_corrupt,no_tool,original,4,241,assistant,0.04343552887439728
codecontests_java_1,original_corrupt,no_tool,original,5,149, below,0.039560724049806595
codecontests_java_1,tool_out,tool,out,1,136, the,0.05690933018922806
codecontests_java_1,tool_out,tool,out,2,18, query,0.05569317564368248
codecontests_java_1,tool_out,tool,out,3,247,\n\n,0.05320974066853523
codecontests_java_1,tool_out,tool,out,4,242,assistant,0.041458819061517715
codecontests_java_1,tool_out,tool,out,5,150, below,0.03937757760286331
codecontests_java_1,no_tool_out,no_tool,out,1,18, query,0.062160659581422806
codecontests_java_1,no_tool_out,no_tool,out,2,247,\n\n,0.05377110093832016
