figure,filename,title,source,note
图1,figure_01_final_signed_circuit.png,最终 signed circuit 总览,experiment/results/split/pipeline/final_signed_circuit/final_signed_circuit.png,train 重新发现后仍为 24 节点 64 边
图2,figure_02_bidirectional_union_circuit.png,双向反转后的联合电路,experiment/results/split/pipeline/bidirectional/union_circuit.png,展示共享 backbone 与两条竞争分支
图3,figure_03_instruction_integration_attention_span_heatmap.png,Instruction Integration 跨 span 读入热图,experiment/results/split/instruction_integration/figures/figure3_instruction_integration_attention_span_heatmap.png,对应模块 1 的最新正式图
图4,figure_04_route_probe_comparison.png,Route score 与线性 probe 对照,experiment/results/split/output_route_decision/figures/figure4_route_probe_comparison.png,对应模块 2 Figure 4
图5,figure_05_route_state_evolution.png,Route state 逐层重编码,experiment/results/split/output_route_decision/figures/figure5_route_state_evolution.png,对应模块 2 Figure 5
图6,figure_06_construction_stagewise_train_test.png,Construction stagewise train/test 轨迹,experiment/results/split/tool_call_construction/figures/figure6_construction_stagewise_train_test.png,对应模块 3 Figure 6
图7,figure_07_construction_branch_comparison.png,L21 两条 construction 分支比较,experiment/results/split/tool_call_construction/figures/l21_branch_comparison_paper.png,突出 L21H12 强于 L21H1
图8,figure_08_suppression_stagewise_trajectory.png,Suppression stagewise 轨迹,experiment/results/split/tool_call_suppression/figures/suppression_stagewise_trajectory.png,对应模块 4 核心行为图
图9,figure_09_suppression_node_writeout.png,Suppressive 节点写出图,experiment/results/split/tool_call_suppression/figures/suppression_node_writeout.png,区分 reader / writer / relay
图10,figure_10_suppression_downstream_heatmap.png,Suppressive 下游干扰热图,experiment/results/split/tool_call_suppression/figures/suppression_downstream_heatmap.png,显示 MLP17 对 construction 链的主动压制
