sample_id,clean_lead,corrupt_lead,shared_suffix
codecontests_cpp_1,Write,Build, out the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_1,Save,Design, the function body in solve.java based on the function definition and docstring below:
codecontests_java_2,Finaliz,Devis,e the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_3,Prepare,Implement, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_3,Save,Design, the function body in solve.java based on the function definition and docstring below:
mbpp_python_4,Write,Build, out the function body in solve.py based on the function definition and docstring below:
apps_python_5,Directly build,Independently develop, the function body in solve.py based on the function definition and docstring below:
codecontests_java_6,Edit,Design, the function body in solve.java based on the function definition and docstring below:
codecontests_java_7,Properly add,Properly develop, the function body in solve.java based on the function definition and docstring below:
apps_python_8,Directly build,Manually develop, the function body in solve.py based on the function definition and docstring below:
apps_python_9,Manually build,Manually develop, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_9,Write,Implement, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_9,Insert,Design, the function body in solve.java based on the function definition and docstring below:
apps_python_10,Prepare,Author, the function body in solve.py based on the function definition and docstring below:
codecontests_java_11,Finaliz,Devis,e the function body in solve.java based on the function definition and docstring below:
humaneval_python_11,Write,Implement, the function body in solve.py based on the function definition and docstring below:
mbpp_python_11,Manually build,Independently develop, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_12,Create,Develop, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_13,Edit,Supply, the function body in solve.java based on the function definition and docstring below:
apps_python_14,Write,Build, out the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_14,Direct,Careful,ly implement the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_14,Inser,Craf,t the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_15,Create,Develop, the function body in solve.cpp based on the function definition and docstring below:
codecontests_cpp_16,Properly add,Properly develop, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_16,Past,Compos,e the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_17,Insert,Design, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_17,Appen,Buil,d the function body in solve.java based on the function definition and docstring below:
codecontests_java_18,Writ,Compos,e the function body in solve.java based on the function definition and docstring below:
humaneval_python_18,Directly build,Independently develop, the function body in solve.py based on the function definition and docstring below:
codecontests_java_19,Save,Build, the function body in solve.java based on the function definition and docstring below:
apps_python_20,Prepare,Author, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_20,Write,Develop, the function body in solve.cpp based on the function definition and docstring below:
humaneval_python_21,Manually build,Independently develop, the function body in solve.py based on the function definition and docstring below:
apps_python_22,Directly build,Independently develop, the function body in solve.py based on the function definition and docstring below:
codecontests_java_22,Edit,Compose, the function body in solve.java based on the function definition and docstring below:
codecontests_java_23,Paste,Craft, the function body in solve.java based on the function definition and docstring below:
codecontests_java_24,Finaliz,Devis,e the function body in solve.java based on the function definition and docstring below:
codecontests_java_25,Edi,Craf,t the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_26,Prepare,Implement, the function body in solve.cpp based on the function definition and docstring below:
humaneval_python_26,Direct,Careful,ly implement the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_27,Write,Develop, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_27,Write,Build, out the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_28,Directly implement,Manually develop, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_28,Directly implement,Independently develop, the function body in solve.java based on the function definition and docstring below:
apps_python_29,Manually build,Independently develop, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_29,Write,Develop, the function body in solve.cpp based on the function definition and docstring below:
apps_python_30,Directly build,Independently develop, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_30,Properly add,Properly develop, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_30,Edi,Craf,t the function body in solve.java based on the function definition and docstring below:
mbpp_python_32,Write,Build, out the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_33,Prepare,Author, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_33,Prefill,Formulate, the function body in solve.java based on the function definition and docstring below:
humaneval_python_33,Save,Supply, the function body in solve.py based on the function definition and docstring below:
apps_python_35,Directly build,Independently develop, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_35,Manually build,Carefully implement, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_35,Paste,Craft, the function body in solve.java based on the function definition and docstring below:
mbpp_python_35,Edit,Supply, the function body in solve.py based on the function definition and docstring below:
codecontests_java_36,Past,Compos,e the function body in solve.java based on the function definition and docstring below:
mbpp_python_36,Manually build,Manually develop, the function body in solve.py based on the function definition and docstring below:
apps_python_37,Manually build,Manually develop, the function body in solve.py based on the function definition and docstring below:
codecontests_java_37,Prefill,Formulate, the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_39,Create,Implement, the function body in solve.cpp based on the function definition and docstring below:
humaneval_python_39,Directly build,Carefully implement, the function body in solve.py based on the function definition and docstring below:
apps_python_40,Prepare,Author, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_40,Properly add,Properly develop, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_40,Paste,Design, the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_41,Properly add,Properly develop, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_41,Finaliz,Devis,e the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_42,Properly add,Properly develop, the function body in solve.cpp based on the function definition and docstring below:
mbpp_python_42,Directly build,Independently develop, the function body in solve.py based on the function definition and docstring below:
apps_python_43,Write,Build, out the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_43,Prefill,Formulate, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_43,Save,Supply, the function body in solve.java based on the function definition and docstring below:
apps_python_44,Directly implement,Manually develop, the function body in solve.py based on the function definition and docstring below:
codecontests_java_44,Prefill,Formulate, the function body in solve.java based on the function definition and docstring below:
humaneval_python_44,Directly build,Independently develop, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_45,Properly add,Properly develop, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_45,Append,Supply, the function body in solve.java based on the function definition and docstring below:
apps_python_46,Directly build,Manually develop, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_46,Insert,Author, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_46,Appen,Buil,d the function body in solve.java based on the function definition and docstring below:
humaneval_python_47,Manually build,Manually develop, the function body in solve.py based on the function definition and docstring below:
apps_python_48,Write,Build, out the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_48,Paste,Author, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_48,Append,Design, the function body in solve.java based on the function definition and docstring below:
apps_python_49,Directly implement,Independently develop, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_49,Properly add,Properly develop, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_49,Prefill,Formulate, the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_50,Prepare,Develop, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_50,Edit,Compose, the function body in solve.java based on the function definition and docstring below:
apps_python_51,Directly build,Independently develop, the function body in solve.py based on the function definition and docstring below:
codecontests_java_52,Paste,Craft, the function body in solve.java based on the function definition and docstring below:
apps_python_53,Paste,Author, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_53,Write,Develop, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_53,Paste,Design, the function body in solve.java based on the function definition and docstring below:
codecontests_java_55,Save,Design, the function body in solve.java based on the function definition and docstring below:
mbpp_python_55,Write,Build, out the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_56,Properly add,Properly develop, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_56,Save,Supply, the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_57,Paste,Author, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_57,Save,Build, the function body in solve.java based on the function definition and docstring below:
apps_python_58,Directly build,Independently develop, the function body in solve.py based on the function definition and docstring below:
codecontests_java_58,Edit,Compose, the function body in solve.java based on the function definition and docstring below:
apps_python_59,Directly build,Independently develop, the function body in solve.py based on the function definition and docstring below:
apps_python_60,Write,Build, out the function body in solve.py based on the function definition and docstring below:
codecontests_java_60,Edit,Compose, the function body in solve.java based on the function definition and docstring below:
humaneval_python_60,Directly build,Carefully implement, the function body in solve.py based on the function definition and docstring below:
codecontests_java_61,Finaliz,Devis,e the function body in solve.java based on the function definition and docstring below:
mbpp_python_61,Directly build,Manually develop, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_62,Write,Develop, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_62,Edit,Supply, the function body in solve.java based on the function definition and docstring below:
codecontests_java_63,Appen,Buil,d the function body in solve.java based on the function definition and docstring below:
apps_python_64,Insert,Author, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_64,Properly add,Properly develop, the function body in solve.cpp based on the function definition and docstring below:
codecontests_cpp_66,Create,Develop, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_67,Directly implement,Independently develop, the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_68,Inser,Craf,t the function body in solve.cpp based on the function definition and docstring below:
apps_python_69,Manually build,Independently develop, the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_70,Create,Implement, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_70,Inser,Craf,t the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_72,Write,Develop, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_72,Edit,Compose, the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_73,Append,Supply, the function body in solve.cpp based on the function definition and docstring below:
codecontests_cpp_74,Insert,Author, the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_74,Insert,Supply, the function body in solve.java based on the function definition and docstring below:
