sample_id,clean_instruction,corrupt_instruction
codecontests_cpp_1,Write out the function body in solve.cpp based on the function definition and docstring below:,Build out the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_1,Save the function body in solve.java based on the function definition and docstring below:,Design the function body in solve.java based on the function definition and docstring below:
codecontests_java_2,Finalize the function body in solve.java based on the function definition and docstring below:,Devise the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_3,Prepare the function body in solve.cpp based on the function definition and docstring below:,Implement the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_3,Save the function body in solve.java based on the function definition and docstring below:,Design the function body in solve.java based on the function definition and docstring below:
mbpp_python_4,Write out the function body in solve.py based on the function definition and docstring below:,Build out the function body in solve.py based on the function definition and docstring below:
apps_python_5,Directly build the function body in solve.py based on the function definition and docstring below:,Independently develop the function body in solve.py based on the function definition and docstring below:
codecontests_java_6,Edit the function body in solve.java based on the function definition and docstring below:,Design the function body in solve.java based on the function definition and docstring below:
codecontests_java_7,Properly add the function body in solve.java based on the function definition and docstring below:,Properly develop the function body in solve.java based on the function definition and docstring below:
apps_python_8,Directly build the function body in solve.py based on the function definition and docstring below:,Manually develop the function body in solve.py based on the function definition and docstring below:
apps_python_9,Manually build the function body in solve.py based on the function definition and docstring below:,Manually develop the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_9,Write the function body in solve.cpp based on the function definition and docstring below:,Implement the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_9,Insert the function body in solve.java based on the function definition and docstring below:,Design the function body in solve.java based on the function definition and docstring below:
apps_python_10,Prepare the function body in solve.py based on the function definition and docstring below:,Author the function body in solve.py based on the function definition and docstring below:
codecontests_java_11,Finalize the function body in solve.java based on the function definition and docstring below:,Devise the function body in solve.java based on the function definition and docstring below:
humaneval_python_11,Write the function body in solve.py based on the function definition and docstring below:,Implement the function body in solve.py based on the function definition and docstring below:
mbpp_python_11,Manually build the function body in solve.py based on the function definition and docstring below:,Independently develop the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_12,Create the function body in solve.cpp based on the function definition and docstring below:,Develop the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_13,Edit the function body in solve.java based on the function definition and docstring below:,Supply the function body in solve.java based on the function definition and docstring below:
apps_python_14,Write out the function body in solve.py based on the function definition and docstring below:,Build out the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_14,Directly implement the function body in solve.cpp based on the function definition and docstring below:,Carefully implement the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_14,Insert the function body in solve.java based on the function definition and docstring below:,Craft the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_15,Create the function body in solve.cpp based on the function definition and docstring below:,Develop the function body in solve.cpp based on the function definition and docstring below:
codecontests_cpp_16,Properly add the function body in solve.cpp based on the function definition and docstring below:,Properly develop the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_16,Paste the function body in solve.java based on the function definition and docstring below:,Compose the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_17,Insert the function body in solve.cpp based on the function definition and docstring below:,Design the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_17,Append the function body in solve.java based on the function definition and docstring below:,Build the function body in solve.java based on the function definition and docstring below:
codecontests_java_18,Write the function body in solve.java based on the function definition and docstring below:,Compose the function body in solve.java based on the function definition and docstring below:
humaneval_python_18,Directly build the function body in solve.py based on the function definition and docstring below:,Independently develop the function body in solve.py based on the function definition and docstring below:
codecontests_java_19,Save the function body in solve.java based on the function definition and docstring below:,Build the function body in solve.java based on the function definition and docstring below:
apps_python_20,Prepare the function body in solve.py based on the function definition and docstring below:,Author the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_20,Write the function body in solve.cpp based on the function definition and docstring below:,Develop the function body in solve.cpp based on the function definition and docstring below:
humaneval_python_21,Manually build the function body in solve.py based on the function definition and docstring below:,Independently develop the function body in solve.py based on the function definition and docstring below:
apps_python_22,Directly build the function body in solve.py based on the function definition and docstring below:,Independently develop the function body in solve.py based on the function definition and docstring below:
codecontests_java_22,Edit the function body in solve.java based on the function definition and docstring below:,Compose the function body in solve.java based on the function definition and docstring below:
codecontests_java_23,Paste the function body in solve.java based on the function definition and docstring below:,Craft the function body in solve.java based on the function definition and docstring below:
codecontests_java_24,Finalize the function body in solve.java based on the function definition and docstring below:,Devise the function body in solve.java based on the function definition and docstring below:
codecontests_java_25,Edit the function body in solve.java based on the function definition and docstring below:,Craft the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_26,Prepare the function body in solve.cpp based on the function definition and docstring below:,Implement the function body in solve.cpp based on the function definition and docstring below:
humaneval_python_26,Directly implement the function body in solve.py based on the function definition and docstring below:,Carefully implement the function body in solve.py based on the function definition and docstring below:
codecontests_cpp_27,Write the function body in solve.cpp based on the function definition and docstring below:,Develop the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_27,Write out the function body in solve.java based on the function definition and docstring below:,Build out the function body in solve.java based on the function definition and docstring below:
codecontests_cpp_28,Directly implement the function body in solve.cpp based on the function definition and docstring below:,Manually develop the function body in solve.cpp based on the function definition and docstring below:
codecontests_java_28,Directly implement the function body in solve.java based on the function definition and docstring below:,Independently develop the function body in solve.java based on the function definition and docstring below:
