node,tier,group_key,semantic_hint,rescue_ratio_median,no_tool_top1_rate,boundary_flip_rate,focused_role,focused_reads,focused_writes,focused_claim_tier,clean_density_top_span,decision_density_delta_pos_span,decision_density_delta_neg_span,tier_rationale
L16H4,anchor,no_tool_bias_backbone,no-tool-biased router,0.19680851063829788,0.01062959934587081,0.0008176614881439084,ordinary-answer reader,"task-body / tail-suffix user-side evidence, not tool schema",early suppressive head output into `MLP17`,strong,assistant_prefix,function_body_anchor,user_lead_phrase,最稳的 suppressive reader / ingress，task-body 与 tail-suffix 读入最清楚。
MLP17,anchor,no_tool_bias_backbone,no-tool-biased writer MLP,0.47354497354497355,0.15699100572363042,0.08994276369582993,suppressive writer,upstream suppressive state from `L16H4` / `MLP16`,no-tool-favoring residual direction that also depresses `<tool_call>`,strong,,,,主 suppressive writer；既抬高 no-tool，也压低 <tool_call>。
L23H6,anchor,tool_bias_backbone,tool-biased router,0.28160919540229884,0.017988552739165987,0.0008176614881439084,late suppressive relay,already-written suppressive state rather than a fresh content feature,late no-tool-biased relay near the output region,strong,assistant_prefix,system_preamble,assistant_prefix,late suppressive relay；更像把已写好的 suppressive state 送到输出附近。
MLP16,support,symmetric_backbone,shared writer MLP,0.4318181818181818,0.11365494685200327,0.06050695012264922,decision-to-suppression boundary node,shared route state from the decision spine,suppression fork input before the main writer,strong,,,,decision-to-suppression 边界节点；`MLP16->MLP17` 是强 fork edge，但 `MLP16` 本体不算 suppression 模块主体。
MLP12,candidate,no_tool_bias_backbone,no-tool-biased writer MLP,0.22707423580786026,0.03188879803761243,0.018806214227309895,,,,,,,,更像早期 no-tool seed candidate，模块边界上游，证据不足以并入 suppression 主体。
L16H8,candidate,no_tool_bias_backbone,no-tool-biased router,0.21338912133891214,0.02698282910874898,0.0024529844644317253,,,,,assistant_prefix,function_body_anchor,user_lead_phrase,有 no-tool bias，但 attention 更混杂，读入对象不够像 plain-answer suppressive reader。
L15H5,candidate,no_tool_tail,no-tool-tail router,0.03597122302158273,0.008994276369582993,0.0,,,,,assistant_prefix,file_target,assistant_prefix,有 no-tool 痕迹，但 patch / writeout / stagewise 证据不足。
L16H13,candidate,no_tool_tail,user-content reader,0.11386138613861387,0.008994276369582993,0.0,,,,,assistant_prefix,function_body_anchor,tool_call_example,有 no-tool 痕迹，但 patch / writeout / stagewise 证据不足。
L16H9,candidate,no_tool_tail,no-tool-tail router,0.06535947712418301,0.005723630417007359,0.0,,,,,assistant_prefix,file_target,assistant_prefix,有 no-tool 痕迹，但 patch / writeout / stagewise 证据不足。
L17H2,candidate,no_tool_tail,no-tool-tail router,0.16666666666666666,0.011447260834014717,0.001635322976287817,,,,,assistant_prefix,function_body_anchor,tool_call_example,有 no-tool 痕迹，但 patch / writeout / stagewise 证据不足。
