global_row_id,source_path,source_filename,dataset_name,language,sample_index,template_kind,original_first_user_line,original_prompt_sha1,original_prompt_char_length,dataset,split_local_id,original_source_id,original_source_path,original_source_split,original_source_row_index,rule_based_validation_passed,llm_audit_passed,repaired,replaced,mbpp_explicit_sanitized_subset,mbpp_sanitization_source,output_filename,assigned_candidate,assigned_candidate_type,assigned_candidate_slug,assigned_tool_call_prob,assigned_tool_call_rank,assigned_top1_token_id,assigned_top1_token_str,assigned_top1_prob,assigned_top2_token_id,assigned_top2_token_str,assigned_top2_prob,assigned_top1_top2_prob_gap,assigned_rendered_first_user_line,assigned_prompt_sha1,source_pool,selection_batch,extra_group,extra_row_id,assigned_candidate_word_count,assigned_prompt_token_length
0,/root/autodl-tmp/datasets/apps_python_1.txt,apps_python_1.txt,apps,python,1,solve.py,Write the function body in solve.py based on the function definition and docstrin`g below:,7bbd183115743f40629c61f283e37a5853a80752,1029,apps,1,1648,/root/autodl-tmp/data/APPS/train,train,1648,True,True,True,True,,,apps_python_1.txt,carefully implement,phrase,carefully_implement,0.021793963387608528,2,40,I,0.9267028570175171,151657,<tool_call>,0.021793963387608528,0.9049088936299086,Carefully implement the function body in solve.py based on the function definition and docstrin`g below:,fc34a1fb88e09bf08b78e18e3083b42bc8425569,project_datasets_base,base,,,,
1,/root/autodl-tmp/datasets/apps_python_10.txt,apps_python_10.txt,apps,python,10,solve.py,Write the function body in solve.py based on the function definition and docstring below:,5db37853c15c7c23e85adc56adcaeb0884163b60,1066,apps,10,2410,/root/autodl-tmp/data/APPS/train,train,2410,True,True,True,False,,,apps_python_10.txt,author,verb,author,0.024004016071558,3,40,I,0.9007440209388733,785,The,0.034925635904073715,0.8658183850347996,Author the function body in solve.py based on the function definition and docstring below:,b47455ed28b6768d042472d242c0c651087d4e7f,project_datasets_base,base,,,,
2,/root/autodl-tmp/datasets/apps_python_100.txt,apps_python_100.txt,apps,python,100,solve.py,Write the function body in solve.py based on the function definition and docstring below:,0b3dcc1a1c72d586f8dbaba79f08d23630ed4ae6,1031,apps,100,146,/root/autodl-tmp/data/APPS/train,train,146,True,True,True,False,,,apps_python_100.txt,build out,phrase,build_out,0.004946729633957148,4,40,I,0.942679762840271,8420,Here,0.022169705480337143,0.9205100573599339,Build out the function body in solve.py based on the function definition and docstring below:,884fd223d41be8e7dec225b4f8f037ca91a2f036,project_datasets_base,base,,,,
3,/root/autodl-tmp/datasets/apps_python_101.txt,apps_python_101.txt,apps,python,101,solve.py,Write the function body in solve.py based on the function definition and docstring below:,3e16a783845ff7b690fcfeb05de8e11dcfe4a465,1116,apps,101,147,/root/autodl-tmp/data/APPS/train,train,147,True,True,True,False,,,apps_python_101.txt,manually develop,phrase,manually_develop,0.015694281086325645,3,40,I,0.8568786382675171,1249,To,0.10233955830335617,0.7545390799641609,Manually develop the function body in solve.py based on the function definition and docstring below:,f74c30c1c93de9d4e96d9d6fb38367de3ce6631c,project_datasets_base,base,,,,
4,/root/autodl-tmp/datasets/apps_python_102.txt,apps_python_102.txt,apps,python,102,solve.py,Write the function body in solve.py based on the function definition and docstring below:,ca82874e77cb19880aa46855c8c1770e1378b234,1140,apps,102,148,/root/autodl-tmp/data/APPS/train,train,148,True,True,True,False,,,apps_python_102.txt,independently develop,phrase,independently_develop,0.0024427862372249365,4,40,I,0.767500638961792,1249,To,0.21989260613918304,0.547608032822609,Independently develop the function body in solve.py based on the function definition and docstring below:,39dd45b074bcf82e9416110995b188163cdf3512,project_datasets_base,base,,,,
5,/root/autodl-tmp/datasets/apps_python_103.txt,apps_python_103.txt,apps,python,103,solve.py,Write the function body in solve.py based on the function definition and docstring below:,d2a348869c535eeb9639b127daa0d1041295845a,1042,apps,103,149,/root/autodl-tmp/data/APPS/train,train,149,True,True,True,False,,,apps_python_103.txt,manually develop,phrase,manually_develop,0.008245843462646008,4,40,I,0.9530898332595825,1249,To,0.0135950967669487,0.9394947364926338,Manually develop the function body in solve.py based on the function definition and docstring below:,c9959f6fb30d20cb1907e06336691f7a4adbd339,project_datasets_base,base,,,,
6,/root/autodl-tmp/datasets/apps_python_104.txt,apps_python_104.txt,apps,python,104,solve.py,Write the function body in solve.py based on the function definition and docstring below:,dba52d8cebafe8c62120c23f41f1379bf8e8249f,1089,apps,104,150,/root/autodl-tmp/data/APPS/train,train,150,True,True,True,False,,,apps_python_104.txt,manually develop,phrase,manually_develop,0.011760348454117775,4,40,I,0.8244640231132507,1249,To,0.12643565237522125,0.6980283707380295,Manually develop the function body in solve.py based on the function definition and docstring below:,f809962fc89873cd84d10db311e172a2d885c8af,project_datasets_base,base,,,,
7,/root/autodl-tmp/datasets/apps_python_105.txt,apps_python_105.txt,apps,python,105,solve.py,Write the function body in solve.py based on the function definition and docstring below:,f6ef4016269cd5c3c51db90be9c60ef8ffcb330b,1048,apps,105,151,/root/autodl-tmp/data/APPS/train,train,151,True,True,True,False,,,apps_python_105.txt,design,verb,design,0.0012524239718914032,6,40,I,0.9439572095870972,785,The,0.0323004387319088,0.9116567708551884,Design the function body in solve.py based on the function definition and docstring below:,5bdba8a7d287d50a85b404ef98c1beea80d2ceb3,project_datasets_base,base,,,,
8,/root/autodl-tmp/datasets/apps_python_106.txt,apps_python_106.txt,apps,python,106,solve.py,Write the function body in solve.py based on the function definition and docstring below:,1416f010e52ea8d9b810695525118aec78495ca9,1060,apps,106,152,/root/autodl-tmp/data/APPS/train,train,152,True,True,True,False,,,apps_python_106.txt,supply,verb,supply,0.0015132870757952332,8,40,I,0.8882774710655212,785,The,0.044224727898836136,0.8440527431666851,Supply the function body in solve.py based on the function definition and docstring below:,2e150104ec0df10e2141dea430b9580a71cb3d21,project_datasets_base,base,,,,
9,/root/autodl-tmp/datasets/apps_python_107.txt,apps_python_107.txt,apps,python,107,solve.py,Write the function body in solve.py based on the function definition and docstring below:,7c5772805aa9c3016b3f2908490e03a35fad93d0,1007,apps,107,153,/root/autodl-tmp/data/APPS/train,train,153,True,True,True,False,,,apps_python_107.txt,independently develop,phrase,independently_develop,0.009344709105789661,3,40,I,0.9531861543655396,1249,To,0.025401553139090538,0.927784601226449,Independently develop the function body in solve.py based on the function definition and docstring below:,10f24c375f0a5efa1f74de80736f4ae717a3ae15,project_datasets_base,base,,,,
