item,role,reads,writes,transmission,evidence,claim_tier
L2H14,earliest head-level opening reader,"instruction opening frame / lexical scaffold on the lead_phrase side; not yet a clean delivery-semantic object","small opening-conditioned difference before any stable MLP scaffold","best causal span is `lead_phrase`; strongest source component is `K`; same-frame opposite-semantic variants are closer than same-semantic cross-frame variants","lead density 0.0161 > file 0.0085 > function-body 0.0055; best causal span rescue 0.0251; K source rescue 0.0655; `l2h14_lead_k` same-sem 0.924 < same-frame-opposite 0.965; `l2h14_z` same-sem 0.989 < same-frame-opposite 0.993",strong
L2H14->MLP11,earliest reader-to-scaffold edge,"lead-sensitive opening difference carried by L2H14","first stable scaffold input at MLP11","only earliest-candidate edge into MLP11 that stays non-zero under block","edge support 0.1874/0.0447; source-only rescue 0.042; blocked-by-MLP11 0.030; mediated median 0.009; positive 0.517; p75 0.082; L16H8/L17H2/L17H8/L20H5 all have MLP11-mediated 0.000",strong
L2H14 K/Z split,component-level read/write split,"K reads lead_phrase-side opening tokens; Z preserves the written head output","small but stable MLP11-mediated contribution","K and Z both retain small positive MLP11-mediated mass; Q zero; V negative","K 0.066 -> 0.055 -> 0.009; Z 0.042 -> 0.030 -> 0.009; Q 0.004 -> 0.000 -> 0.000; V 0.038 -> 0.060 -> -0.018",medium
MLP11,first stable semantic scaffold writer,"upstream opening-frame difference from L2H14","first stable tool-vs-no-tool answer-delivery scaffold","raises tool-side opening before late protocol heads fire; aligns original clean/corrupt lines with semantic centroids","stage1 rescue 0.042 -> stage2 0.350; `<tool_call>` delta 0.750; distractor delta -0.875; MLP11 resid_mid tool delta 0.031; `mlp11_out` semantic-correct original_clean 1.000 and original_corrupt 0.923",strong
MLP11->MLP16,earliest strong scaffold edge,"MLP11 opening scaffold","amplified shared scaffold in MLP16","primary early backbone transmission","edge support 0.2416/0.1766; stage2 rescue 0.350 -> stage3 0.577",strong
MLP16,shared scaffold amplifier,"MLP11 scaffold","shared scaffold before branch split","fans to MLP19 and MLP17","stage3 rescue 0.577; `<tool_call>` delta 1.125; `MLP16 -> MLP17` support 0.4564/0.6140",strong
MLP16->MLP19,shared scaffold relay,"amplified shared scaffold","late shared scaffold in MLP19","shared relay before late tool ingress","edge support 0.3149/0.3415; stage3 rescue 0.577 -> stage4 0.846",strong
MLP19,late shared fan-out hub,"late shared scaffold","tool-route ingress state plus no-tool branch input","fans to L20H5/L21H1/L21H12 and back into no-tool branch","`<tool_call>` delta 1.250; MLP19->L20H5 0.3061/0.3418; ->L21H1 0.6261/0.3947; ->L21H12 0.6529/0.6005",strong
Late tool writer,late object-specific writer chain,"file target / function-body anchor / protocol tail / `<tool_call>` start marker","`<tool_call>`-favoring residual at the first generated token","L20H5 -> L21H1/L21H12 -> L24H6 -> MLP27","L20H5 file density 0.0378 and q/z 0.156/0.308; L21H1 q/z 0.546/0.573; L21H12 q/z 0.692/0.707; L24H6 rank-1 `<tool_call>`; MLP27 steering on corrupt_full gives tool_top1 0.833 at alpha 1.5; best independent late alternative L21H12 only 0.371",strong
No-tool branch,competitive suppressive branch,"shared scaffold fork plus textual-answer anchors","no_tool-favoring residual and tool-route suppression","MLP16 -> MLP17 -> L23H6","MLP16->MLP17 0.4564/0.6140; L16H4->MLP17 0.1847/0.4193; MLP17->L23H6 0.0478/0.5528",strong
