node,tier,group_key,semantic_hint,rescue_ratio_median,no_tool_top1_rate,boundary_flip_rate,focused_role,focused_reads,focused_writes,focused_claim_tier,clean_density_top_span,decision_density_delta_pos_span,decision_density_delta_neg_span,tier_rationale
L16H4,anchor,no_tool_bias_backbone,no-tool-biased router,0.19777256258234518,0.011614401858304297,0.0011614401858304297,no-tool reader,task body / tail suffix / newline-input textual-answer anchors,suppressive routed state,strong,assistant_prefix,function_body_anchor,user_lead_phrase,最稳的 suppressive reader / ingress，task-body 与 tail-suffix 读入最清楚。
MLP17,anchor,no_tool_bias_backbone,no-tool-biased writer MLP,0.47361459203564465,0.15331010452961671,0.08768873403019745,no-tool writer and suppressor,no-tool textual-answer scaffold,no_tool-favoring residual plus tool-route suppression,strong,,,,主 suppressive writer；既抬高 no-tool，也压低 <tool_call>。
L23H6,anchor,tool_bias_backbone,tool-biased router,0.27993710691823903,0.022067363530778164,0.0005807200929152149,late suppressive relay,newline / boundary scaffold carrying no-tool state,late suppressive pre-output state,medium,assistant_prefix,system_preamble,assistant_prefix,late suppressive relay；更像把已写好的 suppressive state 送到输出附近。
MLP16,support,symmetric_backbone,shared writer MLP,0.4313445795088067,0.10859465737514518,0.06097560975609756,shared scaffold amplifier,cue-conditioned answer-delivery state,amplified shared scaffold before polarity is finalized,strong,,,,decision-to-suppression 边界节点；`MLP16->MLP17` 是强 fork edge，但 `MLP16` 本体不算 suppression 模块主体。
MLP12,candidate,no_tool_bias_backbone,no-tool-biased writer MLP,0.22692863190397927,0.032520325203252036,0.018583042973286876,early no-tool seed candidate,shared early scaffold from MLP11,early no-tool-leaning scaffold feature,weak,,,,更像早期 no-tool seed candidate，模块边界上游，证据不足以并入 suppression 主体。
L16H8,candidate,no_tool_bias_backbone,no-tool-biased router,0.21365095521453178,0.028455284552845527,0.0023228803716608595,,,,,assistant_prefix,function_body_anchor,user_lead_phrase,有 no-tool bias，但 attention 更混杂，读入对象不够像 plain-answer suppressive reader。
L15H5,candidate,no_tool_tail,no-tool-tail router,0.03723404255319149,0.011033681765389082,0.0,,,,,assistant_prefix,file_target,assistant_prefix,有 no-tool 痕迹，但 patch / writeout / stagewise 证据不足。
L16H13,candidate,no_tool_tail,no-tool-tail router,0.1141428429620806,0.008710801393728223,0.0,,,,,assistant_prefix,function_body_anchor,tool_call_example,有 no-tool 痕迹，但 patch / writeout / stagewise 证据不足。
L16H9,candidate,no_tool_tail,no-tool-tail router,0.06111111111111111,0.005226480836236934,0.0,,,,,assistant_prefix,file_target,assistant_prefix,有 no-tool 痕迹，但 patch / writeout / stagewise 证据不足。
L17H2,candidate,no_tool_tail,no-tool-tail router,0.16666666666666666,0.012775842044134728,0.0011614401858304297,,,,,assistant_prefix,function_body_anchor,tool_call_example,有 no-tool 痕迹，但 patch / writeout / stagewise 证据不足。
