head,tier,module_label,clean_decision_user,corrupt_decision_user,clean_bind_to_lead,corrupt_bind_to_lead,heatmap_claim,why_integration
L2H14,anchor,integration,0.04276351149676775,0.056818800779739914,0.07314757762889731,0.09584600884160709,回读 lead 总密度 0.073；file->body 0.017；suffix->body 0.034,最早且最平衡的 user-side 绑定头，旧结果里已知能把 opening 侧差异送进 MLP11。
L2H15,support,integration,0.049137559259063206,0.05501295411423861,0.09565330906968529,0.11048213974559197,回读 lead 总密度 0.096；file->body 0.021；suffix->body 0.025,和 L2H14 同层的伴随头，热图也会把 file/body/suffix 回连到 lead，但目前缺少独立 ingress 闭环。
L11H5,support,integration,0.05686471353105997,0.07401877056795653,0.07003756995893526,0.07071280166661312,回读 lead 总密度 0.070；file->body 0.032；suffix->body 0.031,在进入 MLP11 的同层 block 内同时看 lead、file、function-body，像 pre-MLP11 的 bundle ingress candidate。
L13H9,support,integration,0.04899157727364259,0.06049245895076116,0.12037134991121655,0.12289970970981534,回读 lead 总密度 0.120；file->body 0.015；suffix->body 0.016,更偏文件名对象的一侧，但仍保留 function_body -> lead 绑定，因此像 file-biased 的 support binder。
L16H1,support,integration,0.014764373047590273,0.013685106322727111,0.4203122263055908,0.4070549970247316,回读 lead 总密度 0.420；file->body 0.071；suffix->body 0.057,中层最强 user-side binder 之一，尤其强读 file_target -> lead / function_body。
L16H5,support,integration,0.05888077052361218,0.0506164671554,0.12636090060896116,0.1536260723954653,回读 lead 总密度 0.126；file->body 0.022；suffix->body 0.017,clean 下更偏 lead，corrupt 下更偏 function_body/file，像靠近 decision 前的重绑定头。
L18H13,support,integration,0.07267491227533976,0.07365746058590719,0.20735076069771002,0.16002614160636752,回读 lead 总密度 0.207；file->body 0.025；suffix->body 0.035,late pre-decision binder，decision row 已经显著落在 user-side span 上。
L9H2,candidate,candidate,0.059741923910087445,0.09289021668435464,0.027440569514101773,0.028757831786286336,回读 lead 总密度 0.027；file->body 0.033；suffix->body 0.019,主要围绕 file_target 组织 attention，像对象读头而不是整合头。
L11H6,candidate,candidate,0.013703410860403505,0.021800858804891885,0.19130900971982887,0.18998887565442185,回读 lead 总密度 0.191；file->body 0.053；suffix->body 0.010,function_body -> lead 很强，但 decision row 很弱，更像局部 support candidate。
L18H12,candidate,candidate,0.02606404747909398,0.026973035141495964,0.318699932026295,0.2974456489236504,回读 lead 总密度 0.319；file->body 0.050；suffix->body 0.023,绑定强但 decision row 弱，暂时保留为晚层 candidate。
L20H5,contrast,contrast,0.05463947194681944,0.08589191933072689,0.04689638294803444,0.03724492637145265,回读 lead 总密度 0.047；file->body 0.027；suffix->body 0.015,明确作为 contrast：它更像 Construction 入口，而不是 Integration。
